THD Ratio -> Specify Data Points,,
DUT_WA001,,
X,Y,
Hz,%,
10000,92.98442067,
,,
RMS Level -> Specify Data Points,,
DUT_WA003,,
X,Y,
Hz,dBSPL,
100,66.80530625,
106,65.60157565,
112,56.98137256,
118,63.13576668,
125,54.87884672,
132,61.34602225,
140,60.54171851,
150,64.64510493,
160,65.30300825,
170,63.26232147,
180,66.59558462,
190,61.31450601,
200,65.78245558,
212,64.65045712,
224,66.74698281,
236,67.56102356,
250,67.84736905,
265,68.99883237,
280,69.58057029,
300,70.90441721,
315,71.23390786,
335,72.77774068,
355,74.32625994,
375,76.64266125,
400,77.91190995,
425,79.93916338,
450,80.4629846,
475,81.26453294,
500,82.15868125,
530,83.66895522,
560,85.52409687,
600,87.29299669,
630,87.87955524,
670,89.11073598,
710,89.85417784,
750,90.85798192,
800,91.89992568,
850,92.29085807,
900,91.90980236,
950,92.89167409,
1000,93.52402209,
1060,92.44544322,
1120,92.73568081,
1180,93.31537901,
1250,93.35757862,
1320,93.30340132,
1400,93.12544841,
1500,92.96960583,
1600,93.25470956,
1700,92.75921668,
1800,93.92247815,
1900,93.28105228,
2000,93.91353049,
2120,93.70994998,
